# Force coefficients
# liftDir       : (-8.71556741e-02 9.96194704e-01 0.00000000e+00)
# dragDir       : (9.96194704e-01 8.71556741e-02 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 3.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
193             	2.12431321e-04	3.08596860e-03	4.02017355e-02	2.03132991e-02	1.98884364e-02
194             	2.02478042e-04	3.08300139e-03	4.01891404e-02	2.02970482e-02	1.98920921e-02
195             	1.92817802e-04	3.08021282e-03	4.01774206e-02	2.02815281e-02	1.98958925e-02
196             	1.83033660e-04	3.07734586e-03	4.01650743e-02	2.02655708e-02	1.98995035e-02
197             	1.73696831e-04	3.07475914e-03	4.01541235e-02	2.02507586e-02	1.99033649e-02
198             	1.63576667e-04	3.07166123e-03	4.01402990e-02	2.02337262e-02	1.99065728e-02
199             	1.53910664e-04	3.06892434e-03	4.01287450e-02	2.02182832e-02	1.99104618e-02
200             	1.44364023e-04	3.06614903e-03	4.01164027e-02	2.02025654e-02	1.99138373e-02
201             	1.35411411e-04	3.06364991e-03	4.01051747e-02	2.01879988e-02	1.99171760e-02
202             	1.25281960e-04	3.06055158e-03	4.00910112e-02	2.01707876e-02	1.99202237e-02
203             	1.15847580e-04	3.05788883e-03	4.00794683e-02	2.01555817e-02	1.99238866e-02
204             	1.05820604e-04	3.05482807e-03	4.00654827e-02	2.01385619e-02	1.99269207e-02
205             	9.73087991e-05	3.05251368e-03	4.00545707e-02	2.01245941e-02	1.99299765e-02
206             	8.69917192e-05	3.04938617e-03	4.00401581e-02	2.01070708e-02	1.99330874e-02
207             	7.81949518e-05	3.04692960e-03	4.00281111e-02	2.00922505e-02	1.99358606e-02
208             	6.88858831e-05	3.04421298e-03	4.00145850e-02	2.00761784e-02	1.99384066e-02
209             	5.96548987e-05	3.04156851e-03	4.00015690e-02	2.00604394e-02	1.99411296e-02
210             	4.98074841e-05	3.03864769e-03	3.99872672e-02	2.00434411e-02	1.99438261e-02
211             	3.99964232e-05	3.03569142e-03	3.99725156e-02	2.00262542e-02	1.99462614e-02
212             	3.07610202e-05	3.03297764e-03	3.99584312e-02	2.00099766e-02	1.99484546e-02
213             	2.20071283e-05	3.03049716e-03	3.99452929e-02	1.99946536e-02	1.99506393e-02
214             	1.25140157e-05	3.02766378e-03	3.99304559e-02	1.99777420e-02	1.99527139e-02
215             	3.47890638e-06	3.02503077e-03	3.99161637e-02	1.99615608e-02	1.99546030e-02
216             	-5.89318339e-06	3.02222890e-03	3.99010979e-02	1.99446558e-02	1.99564421e-02
217             	-1.49773060e-05	3.01958579e-03	3.98861799e-02	1.99281126e-02	1.99580672e-02
218             	-2.47003939e-05	3.01661772e-03	3.98700935e-02	1.99103464e-02	1.99597472e-02
219             	-3.28943667e-05	3.01438512e-03	3.98565407e-02	1.98953760e-02	1.99611647e-02
220             	-4.18958385e-05	3.01172954e-03	3.98412919e-02	1.98787501e-02	1.99625418e-02
221             	-5.04719060e-05	3.00926718e-03	3.98264237e-02	1.98627399e-02	1.99636837e-02
222             	-5.95180407e-05	3.00660594e-03	3.98107992e-02	1.98458816e-02	1.99649176e-02
223             	-6.79652855e-05	3.00416595e-03	3.97957402e-02	1.98299048e-02	1.99658354e-02
224             	-7.57884341e-05	3.00203668e-03	3.97820246e-02	1.98152239e-02	1.99668007e-02
225             	-8.45350060e-05	2.99941120e-03	3.97660954e-02	1.97985127e-02	1.99675827e-02
226             	-9.22799754e-05	2.99729546e-03	3.97521107e-02	1.97837754e-02	1.99683353e-02
227             	-1.00545758e-04	2.99489742e-03	3.97368032e-02	1.97678558e-02	1.99689473e-02
228             	-1.08070200e-04	2.99288193e-03	3.97229676e-02	1.97534136e-02	1.99695540e-02
229             	-1.16503620e-04	2.99033450e-03	3.97067407e-02	1.97368667e-02	1.99698740e-02
230             	-1.24347001e-04	2.98819119e-03	3.96922097e-02	1.97217579e-02	1.99704519e-02
231             	-1.32509377e-04	2.98580531e-03	3.96764613e-02	1.97057213e-02	1.99707400e-02
232             	-1.39894708e-04	2.98382222e-03	3.96622362e-02	1.96912234e-02	1.99710128e-02
233             	-1.48786577e-04	2.98107094e-03	3.96445087e-02	1.96734678e-02	1.99710410e-02
234             	-1.56574114e-04	2.97890109e-03	3.96292548e-02	1.96580533e-02	1.99712015e-02
235             	-1.64057998e-04	2.97677070e-03	3.96139519e-02	1.96429179e-02	1.99710339e-02
236             	-1.70591400e-04	2.97513034e-03	3.96007460e-02	1.96297816e-02	1.99709644e-02
237             	-1.78940681e-04	2.97257720e-03	3.95833559e-02	1.96127373e-02	1.99706186e-02
238             	-1.84931866e-04	2.97115241e-03	3.95709509e-02	1.96005436e-02	1.99704073e-02
239             	-1.93288707e-04	2.96859163e-03	3.95534623e-02	1.95834425e-02	1.99700199e-02
240             	-2.00602120e-04	2.96652502e-03	3.95380538e-02	1.95684248e-02	1.99696290e-02
241             	-2.08674416e-04	2.96410751e-03	3.95207256e-02	1.95516884e-02	1.99690372e-02
242             	-2.15052135e-04	2.96243483e-03	3.95069502e-02	1.95384230e-02	1.99685273e-02
243             	-2.22483034e-04	2.96028084e-03	3.94905496e-02	1.95227917e-02	1.99677578e-02
244             	-2.28882478e-04	2.95860151e-03	3.94764180e-02	1.95093265e-02	1.99670915e-02
245             	-2.36259277e-04	2.95642004e-03	3.94598241e-02	1.94936528e-02	1.99661713e-02
246             	-2.43051804e-04	2.95461018e-03	3.94446661e-02	1.94792812e-02	1.99653848e-02
247             	-2.50640060e-04	2.95225775e-03	3.94272240e-02	1.94629719e-02	1.99642520e-02
248             	-2.57043078e-04	2.95051806e-03	3.94124064e-02	1.94491601e-02	1.99632463e-02
249             	-2.64528383e-04	2.94825722e-03	3.93949140e-02	1.94329286e-02	1.99619854e-02
250             	-2.70496727e-04	2.94674367e-03	3.93808507e-02	1.94199286e-02	1.99609221e-02
251             	-2.77490182e-04	2.94462214e-03	3.93636991e-02	1.94043594e-02	1.99593398e-02
252             	-2.83588688e-04	2.94309108e-03	3.93492884e-02	1.93910555e-02	1.99582329e-02
253             	-2.90818453e-04	2.94081217e-03	3.93316283e-02	1.93749957e-02	1.99566326e-02
254             	-2.97901348e-04	2.93876333e-03	3.93145601e-02	1.93593787e-02	1.99551814e-02
255             	-3.05018726e-04	2.93655093e-03	3.92968404e-02	1.93434015e-02	1.99534389e-02
256             	-3.11203669e-04	2.93486420e-03	3.92811725e-02	1.93293826e-02	1.99517899e-02
257             	-3.18483852e-04	2.93266773e-03	3.92628327e-02	1.93129325e-02	1.99499002e-02
258             	-3.24543929e-04	2.93102494e-03	3.92471846e-02	1.92990484e-02	1.99481362e-02
259             	-3.31259388e-04	2.92896080e-03	3.92295593e-02	1.92835202e-02	1.99460390e-02
260             	-3.37658401e-04	2.92713146e-03	3.92126215e-02	1.92686523e-02	1.99439691e-02
261             	-3.44908495e-04	2.92491296e-03	3.91937255e-02	1.92519542e-02	1.99417712e-02
262             	-3.50961857e-04	2.92319532e-03	3.91774495e-02	1.92377629e-02	1.99396866e-02
263             	-3.57200842e-04	2.92130474e-03	3.91602329e-02	1.92229156e-02	1.99373173e-02
264             	-3.64015776e-04	2.91928549e-03	3.91416623e-02	1.92068154e-02	1.99348469e-02
265             	-3.70754200e-04	2.91719810e-03	3.91232797e-02	1.91908856e-02	1.99323940e-02
266             	-3.76688030e-04	2.91548513e-03	3.91065119e-02	1.91765679e-02	1.99299440e-02
267             	-3.83447694e-04	2.91343012e-03	3.90876166e-02	1.91603606e-02	1.99272560e-02
268             	-3.89046703e-04	2.91184186e-03	3.90712624e-02	1.91465845e-02	1.99246779e-02
269             	-3.95512540e-04	2.90984439e-03	3.90526664e-02	1.91308207e-02	1.99218457e-02
