# Force coefficients
# liftDir       : (-8.71556741e-02 9.96194704e-01 0.00000000e+00)
# dragDir       : (9.96194704e-01 8.71556741e-02 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 3.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
203             	-1.08968064e-03	9.08020129e-03	3.64879171e-02	1.71542779e-02	1.93336392e-02
204             	4.87973528e-03	-1.12547701e-03	5.04701416e-02	3.01148061e-02	2.03553355e-02
205             	-9.94081314e-04	9.03456738e-03	3.67416034e-02	1.73767204e-02	1.93648830e-02
206             	4.84638016e-03	-1.10175028e-03	5.01992323e-02	2.99459963e-02	2.02532360e-02
207             	-9.34360266e-04	9.25059746e-03	3.70082468e-02	1.75697631e-02	1.94384837e-02
208             	4.71860240e-03	-1.34751650e-03	5.01193340e-02	2.97782694e-02	2.03410646e-02
209             	-8.08841543e-04	9.47729667e-03	3.71160833e-02	1.77492001e-02	1.93668832e-02
210             	4.55875530e-03	-1.56351626e-03	5.02182541e-02	2.96678823e-02	2.05503717e-02
211             	-6.46053201e-04	9.74500879e-03	3.71695128e-02	1.79387032e-02	1.92308096e-02
212             	4.46394645e-03	-1.74260991e-03	5.01380955e-02	2.95329942e-02	2.06051013e-02
213             	-5.07311810e-04	9.85813748e-03	3.72750269e-02	1.81302016e-02	1.91448252e-02
214             	4.35256934e-03	-1.80761201e-03	5.01855618e-02	2.94453502e-02	2.07402116e-02
215             	-4.96560459e-04	9.80517313e-03	3.78616313e-02	1.84342552e-02	1.94273761e-02
216             	4.43392368e-03	-1.78951617e-03	5.01706192e-02	2.95192333e-02	2.06513859e-02
217             	-6.33469492e-04	9.78781360e-03	3.80053014e-02	1.83691812e-02	1.96361202e-02
218             	4.71731374e-03	-1.80622280e-03	4.99984026e-02	2.97165151e-02	2.02818876e-02
219             	-9.26314503e-04	9.82797578e-03	3.77503576e-02	1.79488643e-02	1.98014933e-02
220             	4.99053837e-03	-1.78334362e-03	5.10261585e-02	3.05036176e-02	2.05225409e-02
221             	-1.13994474e-03	9.73920693e-03	3.70342489e-02	1.73771797e-02	1.96570692e-02
222             	5.24751215e-03	-1.64081141e-03	5.12785492e-02	3.08867868e-02	2.03917625e-02
223             	-1.23780488e-03	9.53289281e-03	3.68800800e-02	1.72022351e-02	1.96778449e-02
224             	5.36213152e-03	-1.51887728e-03	5.17152444e-02	3.12197537e-02	2.04954907e-02
225             	-1.23367170e-03	9.40018031e-03	3.73801949e-02	1.74564258e-02	1.99237692e-02
226             	5.34730298e-03	-1.45305854e-03	5.14916997e-02	3.10931528e-02	2.03985469e-02
