# Force coefficients
# liftDir       : (-8.71556741e-02 9.96194704e-01 0.00000000e+00)
# dragDir       : (9.96194704e-01 8.71556741e-02 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 3.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
189             	1.23862585e-03	3.00161377e-03	4.93963816e-02	2.59368166e-02	2.34595649e-02
190             	1.23480378e-03	2.99912340e-03	4.94029920e-02	2.59362998e-02	2.34666922e-02
191             	1.23088740e-03	2.99656157e-03	4.94090150e-02	2.59353949e-02	2.34736201e-02
192             	1.22711134e-03	2.99414382e-03	4.94147485e-02	2.59344856e-02	2.34802629e-02
193             	1.22339543e-03	2.99171590e-03	4.94213204e-02	2.59340556e-02	2.34872648e-02
194             	1.21978767e-03	2.98932674e-03	4.94271608e-02	2.59333681e-02	2.34937927e-02
195             	1.21639039e-03	2.98705020e-03	4.94331439e-02	2.59329624e-02	2.35001816e-02
196             	1.21334951e-03	2.98499953e-03	4.94394721e-02	2.59330856e-02	2.35063865e-02
197             	1.21009629e-03	2.98283744e-03	4.94460854e-02	2.59331390e-02	2.35129464e-02
198             	1.20658846e-03	2.98060776e-03	4.94504213e-02	2.59317991e-02	2.35186222e-02
199             	1.20343623e-03	2.97856230e-03	4.94564169e-02	2.59316447e-02	2.35247722e-02
200             	1.19987960e-03	2.97630005e-03	4.94604927e-02	2.59301260e-02	2.35303668e-02
201             	1.19688947e-03	2.97424350e-03	4.94659147e-02	2.59298468e-02	2.35360679e-02
202             	1.19423345e-03	2.97238624e-03	4.94714983e-02	2.59299826e-02	2.35415157e-02
203             	1.19164057e-03	2.97055239e-03	4.94781549e-02	2.59307180e-02	2.35474369e-02
204             	1.18847688e-03	2.96852991e-03	4.94823598e-02	2.59296568e-02	2.35527030e-02
205             	1.18556788e-03	2.96664161e-03	4.94873384e-02	2.59292371e-02	2.35581013e-02
206             	1.18252512e-03	2.96467423e-03	4.94913989e-02	2.59282245e-02	2.35631743e-02
207             	1.17941171e-03	2.96268297e-03	4.94954087e-02	2.59271161e-02	2.35682927e-02
208             	1.17706594e-03	2.96101527e-03	4.95000710e-02	2.59271014e-02	2.35729696e-02
209             	1.17428304e-03	2.95923322e-03	4.95046776e-02	2.59266218e-02	2.35780557e-02
210             	1.17203663e-03	2.95762918e-03	4.95097037e-02	2.59268885e-02	2.35828152e-02
211             	1.16876575e-03	2.95561956e-03	4.95132035e-02	2.59253675e-02	2.35878360e-02
212             	1.16590213e-03	2.95377650e-03	4.95162367e-02	2.59240205e-02	2.35922162e-02
213             	1.16316918e-03	2.95203540e-03	4.95201507e-02	2.59232445e-02	2.35969062e-02
214             	1.16085349e-03	2.95041462e-03	4.95237254e-02	2.59227162e-02	2.36010092e-02
215             	1.15804746e-03	2.94864263e-03	4.95270842e-02	2.59215896e-02	2.36054946e-02
216             	1.15570779e-03	2.94706337e-03	4.95306804e-02	2.59210480e-02	2.36096324e-02
217             	1.15299862e-03	2.94538530e-03	4.95340932e-02	2.59200452e-02	2.36140480e-02
218             	1.15047035e-03	2.94373680e-03	4.95365753e-02	2.59187580e-02	2.36178173e-02
219             	1.14745791e-03	2.94192673e-03	4.95385981e-02	2.59167569e-02	2.36218411e-02
220             	1.14472599e-03	2.94021326e-03	4.95404620e-02	2.59149570e-02	2.36255050e-02
221             	1.14230851e-03	2.93867681e-03	4.95429483e-02	2.59137827e-02	2.36291656e-02
222             	1.14013323e-03	2.93724461e-03	4.95458218e-02	2.59130441e-02	2.36327777e-02
223             	1.13759063e-03	2.93565956e-03	4.95479155e-02	2.59115484e-02	2.36363671e-02
224             	1.13491538e-03	2.93402633e-03	4.95496414e-02	2.59097361e-02	2.36399053e-02
225             	1.13221418e-03	2.93239547e-03	4.95498511e-02	2.59071397e-02	2.36427114e-02
226             	1.12928304e-03	2.93072364e-03	4.95503620e-02	2.59044640e-02	2.36458980e-02
227             	1.12654047e-03	2.92907830e-03	4.95508640e-02	2.59019725e-02	2.36488915e-02
228             	1.12384430e-03	2.92744946e-03	4.95507095e-02	2.58991991e-02	2.36515105e-02
229             	1.12131772e-03	2.92594355e-03	4.95512010e-02	2.58969182e-02	2.36542828e-02
230             	1.11909151e-03	2.92456975e-03	4.95521018e-02	2.58951424e-02	2.36569594e-02
231             	1.11662283e-03	2.92310614e-03	4.95522632e-02	2.58927544e-02	2.36595087e-02
232             	1.11405526e-03	2.92163453e-03	4.95525189e-02	2.58903147e-02	2.36622042e-02
233             	1.11117258e-03	2.91999670e-03	4.95511613e-02	2.58867532e-02	2.36644081e-02
234             	1.10880670e-03	2.91863161e-03	4.95509274e-02	2.58842704e-02	2.36666570e-02
235             	1.10609714e-03	2.91710138e-03	4.95492187e-02	2.58807065e-02	2.36685122e-02
236             	1.10380712e-03	2.91581093e-03	4.95490123e-02	2.58783133e-02	2.36706991e-02
237             	1.10095767e-03	2.91420214e-03	4.95469461e-02	2.58744307e-02	2.36725154e-02
238             	1.09894377e-03	2.91306039e-03	4.95466635e-02	2.58722755e-02	2.36743880e-02
239             	1.09615071e-03	2.91152023e-03	4.95441891e-02	2.58682453e-02	2.36759439e-02
240             	1.09406901e-03	2.91034044e-03	4.95437506e-02	2.58659443e-02	2.36778063e-02
241             	1.09125502e-03	2.90878721e-03	4.95410318e-02	2.58617709e-02	2.36792609e-02
242             	1.08941227e-03	2.90778856e-03	4.95403760e-02	2.58596003e-02	2.36807757e-02
243             	1.08672865e-03	2.90632092e-03	4.95373201e-02	2.58553887e-02	2.36819314e-02
244             	1.08508494e-03	2.90540618e-03	4.95372255e-02	2.58536977e-02	2.36835278e-02
245             	1.08221714e-03	2.90385232e-03	4.95336523e-02	2.58490433e-02	2.36846090e-02
246             	1.08034139e-03	2.90281763e-03	4.95328143e-02	2.58467485e-02	2.36860657e-02
247             	1.07770862e-03	2.90138374e-03	4.95297354e-02	2.58425763e-02	2.36871591e-02
248             	1.07630590e-03	2.90055284e-03	4.95295061e-02	2.58410589e-02	2.36884471e-02
249             	1.07457186e-03	2.89952316e-03	4.95279457e-02	2.58385447e-02	2.36894010e-02
250             	1.07346407e-03	2.89893465e-03	4.95288410e-02	2.58378846e-02	2.36909564e-02
251             	1.07125143e-03	2.89761870e-03	4.95261856e-02	2.58343442e-02	2.36918414e-02
252             	1.06940092e-03	2.89665848e-03	4.95252601e-02	2.58320309e-02	2.36932291e-02
253             	1.06716635e-03	2.89543095e-03	4.95229388e-02	2.58286357e-02	2.36943030e-02
254             	1.06597200e-03	2.89468874e-03	4.95231914e-02	2.58275677e-02	2.36956237e-02
255             	1.06506192e-03	2.89398478e-03	4.95232145e-02	2.58266692e-02	2.36965453e-02
256             	1.06372749e-03	2.89321981e-03	4.95242155e-02	2.58258352e-02	2.36983803e-02
257             	1.06231526e-03	2.89233208e-03	4.95233106e-02	2.58239706e-02	2.36993401e-02
258             	1.06104891e-03	2.89160721e-03	4.95243234e-02	2.58232106e-02	2.37011128e-02
259             	1.06011509e-03	2.89086887e-03	4.95245305e-02	2.58223803e-02	2.37021502e-02
260             	1.05834118e-03	2.88990814e-03	4.95245960e-02	2.58206392e-02	2.37039568e-02
261             	1.05734636e-03	2.88914427e-03	4.95247579e-02	2.58197253e-02	2.37050326e-02
262             	1.05593648e-03	2.88832444e-03	4.95255751e-02	2.58187240e-02	2.37068511e-02
263             	1.05440122e-03	2.88736851e-03	4.95246622e-02	2.58167323e-02	2.37079299e-02
264             	1.05381324e-03	2.88688092e-03	4.95273435e-02	2.58174850e-02	2.37098585e-02
265             	1.05218876e-03	2.88588592e-03	4.95269414e-02	2.58156595e-02	2.37112819e-02
266             	1.05064970e-03	2.88495016e-03	4.95268646e-02	2.58140820e-02	2.37127826e-02
267             	1.04922643e-03	2.88407369e-03	4.95271008e-02	2.58127768e-02	2.37143240e-02
268             	1.04787581e-03	2.88322706e-03	4.95274435e-02	2.58115976e-02	2.37158460e-02
269             	1.04572349e-03	2.88201944e-03	4.95257950e-02	2.58086210e-02	2.37171740e-02
270             	1.04454745e-03	2.88125548e-03	4.95263586e-02	2.58077267e-02	2.37186318e-02
